Wall time,Step,Value
1713745878.6777894,588800,1651.77001953125
1713745893.812832,591360,1651.77001953125
1713745909.6714191,593920,1634.2099609375
1713745925.673315,596480,1644.1199951171875
1713745940.743503,599040,1660.81005859375
1713745956.1903634,601600,1660.81005859375
1713745971.3436859,604160,1660.81005859375
1713745987.1952736,606720,1665.9100341796875
1713746002.3185062,609280,1661.800048828125
1713746018.3803086,611840,1656.0
1713746033.4416575,614400,1656.0
1713746051.1593552,616960,1611.239990234375
1713746066.872202,619520,1594.0400390625
1713746082.2766402,622080,1611.3900146484375
1713746097.4938831,624640,1610.260009765625
1713746113.7065823,627200,1624.719970703125
1713746129.6266148,629760,1615.3699951171875
1713746146.1315007,632320,1603.56005859375
1713746161.2258472,634880,1594.300048828125
1713746178.4929605,637440,1571.949951171875
1713746194.4561007,640000,1565.199951171875
1713746211.2365496,642560,1561.2900390625
1713746226.2480302,645120,1552.8499755859375
1713746241.2661707,647680,1552.8499755859375
1713746257.1572099,650240,1556.550048828125
1713746273.0298698,652800,1536.5799560546875
1713746291.195511,655360,1497.8599853515625
1713746308.4690077,657920,1457.739990234375
1713746323.6658266,660480,1457.739990234375
1713746340.9114652,663040,1420.050048828125
1713746356.9646447,665600,1400.3499755859375
1713746374.4970653,668160,1351.969970703125
1713746391.5550523,670720,1330.449951171875
1713746407.7263823,673280,1327.81005859375
1713746423.522139,675840,1323.489990234375
1713746442.3242865,678400,1258.3599853515625
1713746460.151023,680960,1185.260009765625
1713746478.211026,683520,1124.47998046875
1713746495.466251,686080,1079.6099853515625
1713746512.1344616,688640,1063.6700439453125
1713746528.8844256,691200,1048.9200439453125
1713746546.736236,693760,1007.5599975585938
1713746563.3414385,696320,977.5399780273438
1713746580.9336672,698880,915.719970703125
1713746597.5862515,701440,904.3099975585938
1713746613.4370806,704000,875.1099853515625
1713746629.9819033,706560,895.030029296875
1713746648.8467607,709120,821.9000244140625
1713746664.695014,711680,831.9500122070312
1713746682.2286358,714240,809.8400268554688
1713746700.5347915,716800,789.02001953125
1713746718.2997258,719360,763.6199951171875
1713746736.335243,721920,706.719970703125
1713746753.0673354,724480,700.1799926757812
1713746769.8996913,727040,717.27001953125
1713746786.3865867,729600,723.8599853515625
1713746803.7012873,732160,693.6199951171875
1713746819.5668533,734720,698.3499755859375
1713746838.5748897,737280,686.5599975585938
1713746855.8835795,739840,686.6699829101562
1713746873.153622,742400,660.739990234375
1713746891.147925,744960,668.010009765625
1713746908.543791,747520,674.4000244140625
1713746926.1174362,750080,672.9099731445312
1713746943.4530654,752640,677.4600219726562
1713746960.8150947,755200,667.6699829101562
1713746977.4492388,757760,674.0499877929688
1713746994.4013736,760320,677.72998046875
1713747012.1586263,762880,684.6599731445312
1713747029.1097257,765440,687.3099975585938
1713747046.4366646,768000,676.8900146484375
1713747064.4236815,770560,658.6500244140625
1713747081.6934485,773120,654.5999755859375
1713747099.7965708,775680,649.6599731445312
1713747116.3315103,778240,652.1699829101562
1713747132.9659321,780800,660.6900024414062
1713747150.441688,783360,664.3599853515625
1713747167.8846211,785920,664.9000244140625
1713747185.269063,788480,670.77001953125
1713747202.6500394,791040,670.52001953125
1713747218.4946704,793600,664.9000244140625
1713747235.8182263,796160,669.280029296875
1713747251.81751,798720,674.0499877929688
1713747268.5061412,801280,682.77001953125
1713747283.5313516,803840,699.2100219726562
1713747299.5880535,806400,696.47998046875
